korean,japanese,pronunciation,category,level
뉴스,ニュース,ニュスー,趣味,初級
다큐멘터리,ドキュメンタリー,タキュメンタリ,趣味,初級
음악,音楽,ウンマク,趣味,初級
노래,歌,ノレ,趣味,初級
댄스,ダンス,デンスー,趣味,初級
악기,楽器,アッキ,趣味,初級
기타,ギター,キタ,趣味,初級
피아노,ピアノ,ピアノ,趣味,初級
바이올린,バイオリン,バイオリン,趣味,初級
드럼,ドラム,ドゥロム,趣味,初級
운동,運動,ウンドン,趣味,初級
스포츠,スポーツ,スポチュ,趣味,初級
축구,サッカー,チュック,趣味,初級
야구,野球,ヤグ,趣味,初級
농구,バスケットボール,ノング,趣味,初級
수영,水泳,スヨン,趣味,初級
테니스,テニス,テニスー,趣味,初級
골프,ゴルフ,ゴルプ,趣味,初級
달리기,ランニング,タルリギ,趣味,初級
자전거,自転車,チャジョンゴ,趣味,初級
요가,ヨガ,ヨガ,趣味,初級
헬스,フィットネス,ヘルスー,趣味,初級
여행,旅行,ヨヘン,趣味,初級
독서,読書,トクソ,趣味,初級
그림,絵,クリム,趣味,初級
사진,写真,サジン,趣味,初級
요리,料理,ヨリ,趣味,初級
쇼핑,ショッピング,ショピン,趣味,初級
영화관,映画館,ヨンファグァン,趣味,初級
콘서트,コンサート,コンソトゥ,趣味,初級
전시회,展示会,チョンシフェ,趣味,初級
박물관,博物館,パンムルグァン,趣味,初級
미술관,美術館,ミスルグァン,趣味,初級
동물원,動物園,トンムルウォン,趣味,初級
놀이공원,遊園地,ノリゴンウォン,趣味,初級
식물원,植物園,シンムルウォン,趣味,初級
수족관,水族館,スジョクグァン,趣味,初級
캠핑,キャンピング,ケムピン,趣味,初級
등산,登山,トゥンサン,趣味,初級 
