korean,japanese,pronunciation,category,level
뉴스,ニュース,ニュス,情報,初級
신문,新聞,シンムン,情報,初級
방송,放送,バンソン,情報,初級
인터넷,インターネット,インターネッ,情報,初級
기술,技術,キスル,情報・技術,中級
과학,科学,クァハク,科学,中級
환경,環境,ファンギョン,科学,中級
에너지,エネルギー,エネジ,科学,中級
우주,宇宙,ウジュ,科学,中級
지구,地球,チグ,科学,初級
자연,自然,チャヨン,科学,初級
건강,健康,コンガン,健康,初級
병원,病院,ピョンウォン,健康,初級
의사,医者,ウィサ,健康,初級
간호사,看護師,カノサ,健康,初級
약,薬,ヤク,健康,初級
약국,薬局,ヤックク,健康,初級
질병,疾病,チルビョン,健康,中級
치료,治療,チリョ,健康,中級
수술,手術,ススル,健康,中級
예방,予防,イェバン,健康,中級
운동,運動,ウンドン,健康,初級
다이어트,ダイエット,ダイオトゥ,健康,初級
영양,栄養,ヨンヤン,健康,中級
비타민,ビタミン,ビタミン,健康,初級
단백질,タンパク質,タンベクチル,健康,中級
가족,家族,カジョク,家族,初級
부모님,両親,プモニム,家族,初級
아버지,父,アボジ,家族,初級
어머니,母,オモニ,家族,初級
형제,兄弟,ヒョンジェ,家族,初級
자매,姉妹,チャメ,家族,初級
아들,息子,アドゥル,家族,初級
딸,娘,タル,家族,初級
할아버지,祖父,ハラボジ,家族,初級
할머니,祖母,ハルモニ,家族,初級
손자,孫,ソンジャ,家族,初級
친척,親戚,チンチョク,家族,初級
결혼,結婚,キョロン,家族,初級
이혼,離婚,イホン,家族,初級
출산,出産,チュルサン,家族,中級
육아,育児,ユカ,家族,中級
스포츠,スポーツ,スポチュ,スポーツ,初級
축구,サッカー,チュック,スポーツ,初級
야구,野球,ヤグ,スポーツ,初級
농구,バスケットボール,ノング,スポーツ,初級
테니스,テニス,テニス,スポーツ,初級
골프,ゴルフ,ゴルプ,スポーツ,初級
수영,水泳,スヨン,スポーツ,初級
경기,試合,キョンギ,スポーツ,初級
선수,選手,ソンス,スポーツ,初級
코치,コーチ,コチ,スポーツ,初級
우승,優勝,ウスン,スポーツ,中級
지진,地震,チジン,自然,初級
태풍,台風,テプン,自然,初級
홍수,洪水,ホンス,自然,中級
가뭄,干ばつ,カムム,自然,中級
화산,火山,ファサン,自然,初級
폭풍,嵐,ポックン,自然,初級
번개,稲妻,ポンゲ,自然,初級
천둥,雷,チョンドゥン,自然,初級
날,日,ナル,時間,初級
주,週,チュ,時間,初級
달,月,タル,時間,初級
년,年,ニョン,時間,初級
시간,時間,シガン,時間,初級
분,分,プン,時間,初級
초,秒,チョ,時間,初級
어제,昨日,オジェ,時間,初級
오늘,今日,オヌル,時間,初級
내일,明日,ネイル,時間,初級
아침,朝,アチム,時間,初級
점심,昼,チョムシム,時間,初級
저녁,夕方・夜,チョニョク,時間,初級
밤,夜,パム,時間,初級
새벽,明け方,セビョク,時間,初級
계절,季節,キェジョル,時間,初級
봄,春,ポム,時間,初級
여름,夏,ヨルム,時間,初級
가을,秋,カウル,時間,初級
겨울,冬,キョウル,時間,初級 
