korean,japanese,pronunciation,category,level
싫어하다,嫌い,シロハダ,動詞,初級
보다,見る,ポダ,動詞,初級
듣다,聞く,トゥッタ,動詞,初級
읽다,読む,イクタ,動詞,初級
쓰다,書く,ッスダ,動詞,初級
말하다,話す,マラダ,動詞,初級
이야기하다,話す・話し合う,イヤギハダ,動詞,初級
배우다,学ぶ,ペウダ,動詞,初級
가르치다,教える,カルチダ,動詞,初級
공부하다,勉強する,コンブハダ,動詞,初級
일하다,働く,イルハダ,動詞,初級
쉬다,休む,シダ,動詞,初級
놀다,遊ぶ,ノルダ,動詞,初級
출발하다,出発する,チュルバラダ,動詞,初級
도착하다,到着する,トチャカダ,動詞,初級
시작하다,始める,シジャカダ,動詞,初級
끝내다,終える,ックンネダ,動詞,初級
만나다,会う,マンナダ,動詞,初級
헤어지다,別れる,ヘオジダ,動詞,初級
도와주다,手伝う,トワジュダ,動詞,初級
부탁하다,お願いする,プタカダ,動詞,初級
감사하다,感謝する,カムサハダ,動詞,初級
웃다,笑う,ウッタ,動詞,初級
울다,泣く,ウルダ,動詞,初級
화내다,怒る,ファネダ,動詞,初級
크다,大きい,クダ,形容詞,初級
작다,小さい,チャクタ,形容詞,初級
많다,多い,マンタ,形容詞,初級
적다,少ない,チョクタ,形容詞,初級
길다,長い,キルダ,形容詞,初級
짧다,短い,ッチャルタ,形容詞,初級
높다,高い,ノプタ,形容詞,初級
낮다,低い,ナチタ,形容詞,初級
넓다,広い,ノルタ,形容詞,初級
좁다,狭い,チョプタ,形容詞,初級
두껍다,厚い,トゥッコプタ,形容詞,初級
얇다,薄い,ヤルタ,形容詞,初級
무겁다,重い,ムゴプタ,形容詞,初級
가볍다,軽い,カビョプタ,形容詞,初級
빠르다,速い,ッパルダ,形容詞,初級
느리다,遅い,ヌリダ,形容詞,初級
쉽다,簡単,シプタ,形容詞,初級
어렵다,難しい,オリョプタ,形容詞,初級
맛있다,美味しい,マシッタ,形容詞,初級
맛없다,不味い,マドプタ,形容詞,初級
좋다,良い,チョタ,形容詞,初級
나쁘다,悪い,ナップダ,形容詞,初級
예쁘다,可愛い・綺麗,イェップダ,形容詞,初級
아름답다,美しい,アルムダプタ,形容詞,初級
멋있다,格好いい,モシッタ,形容詞,初級
멋없다,ダサい,モドプタ,形容詞,初級
비싸다,高い（値段）,ピッサダ,形容詞,初級
싸다,安い（値段）,ッサダ,形容詞,初級
재미있다,面白い,チェミイッタ,形容詞,初級
재미없다,つまらない,チェミオプタ,形容詞,初級
행복하다,幸せ,ヘンボカダ,形容詞,初級
슬프다,悲しい,スルプダ,形容詞,初級
외롭다,寂しい,ウェロプタ,形容詞,初級
기쁘다,嬉しい,キップダ,形容詞,初級
즐겁다,楽しい,チュルゴプタ,形容詞,初級
피곤하다,疲れた,ピゴナダ,形容詞,初級
바쁘다,忙しい,パップダ,形容詞,初級
심심하다,退屈,シムシマダ,形容詞,初級
깨끗하다,綺麗・清潔,ッケックタダ,形容詞,初級
더럽다,汚い,トロプタ,形容詞,初級
가깝다,近い,カッカプタ,形容詞,初級
멀다,遠い,モルダ,形容詞,初級
유명하다,有名,ユミョンハダ,形容詞,初級
새롭다,新しい,セロプタ,形容詞,初級
오래되다,古い,オレデダ,形容詞,初級
중요하다,重要,チュンヨハダ,形容詞,初級
위험하다,危険,ウィホマダ,形容詞,初級
안전하다,安全,アンジョナダ,形容詞,初級
편하다,快適・楽,ピョナダ,形容詞,初級
불편하다,不便・不快,プルピョナダ,形容詞,初級
건강하다,健康,コンガナダ,形容詞,初級
필요하다,必要,ピリョハダ,形容詞,初級
가능하다,可能,カヌンハダ,形容詞,初級
불가능하다,不可能,プルガヌンハダ,形容詞,初級
확실하다,確実,フェクシラダ,形容詞,初級
순간,瞬間,スンガン,名詞,中級
다른,他の,タルン,形容詞,初級
같은,同じ,カトゥン,形容詞,初級
모든,全ての,モドゥン,形容詞,初級
어떤,どんな,オットン,形容詞,初級
저기요,すみません（呼びかけ）,チョギヨ,挨拶,初級
안녕하세요,こんにちは,アンニョンハセヨ,挨拶,初級
안녕히 계세요,さようなら（残る人）,アンニョンヒ ケセヨ,挨拶,初級
안녕히 가세요,さようなら（去る人）,アンニョンヒ カセヨ,挨拶,初級
감사합니다,ありがとうございます,カムサハムニダ,挨拶,初級
고맙습니다,ありがとうございます,コマプスムニダ,挨拶,初級
미안합니다,すみません,ミアンハムニダ,挨拶,初級
죄송합니다,申し訳ありません,チェソンハムニダ,挨拶,初級
괜찮습니다,大丈夫です,ケンチャンスムニダ,挨拶,初級
실례합니다,失礼します,シルレハムニダ,挨拶,初級
처음 뵙겠습니다,初めまして,チョウム ペプケッスムニダ,挨拶,初級
만나서 반갑습니다,お会いできて嬉しいです,マンナソ パンガプスムニダ,挨拶,初級
축하합니다,おめでとうございます,チュカハムニダ,挨拶,初級
환영합니다,ようこそ,ファニョンハムニダ,挨拶,初級
안녕,やあ・バイバイ,アンニョン,挨拶,初級
잘 지냈어요?,元気でしたか,チャル チネッソヨ,挨拶,初級
잘 먹겠습니다,いただきます,チャル モッケッスムニダ,挨拶,初級
잘 먹었습니다,ごちそうさまでした,チャル モゴッスムニダ,挨拶,初級
화이팅,頑張れ,ファイティン,挨拶,初級
축하해요,おめでとう,チュカヘヨ,挨拶,初級
고마워요,ありがとう,コマウォヨ,挨拶,初級
미안해요,ごめんなさい,ミアネヨ,挨拶,初級
잘 자요,おやすみなさい,チャル チャヨ,挨拶,初級
다녀왔습니다,ただいま,タニョワッスムニダ,挨拶,初級
다녀오겠습니다,行ってきます,タニョオゲッスムニダ,挨拶,初級
어서 오세요,いらっしゃいませ,オソ オセヨ,挨拶,初級
맛있게 드세요,召し上がれ,マシッケ トゥセヨ,挨拶,初級
건강하세요,お元気で,コンガンハセヨ,挨拶,初級
사랑해요,愛してます,サランヘヨ,感情,初級
보고 싶어요,会いたいです,ポゴ シポヨ,感情,初級
화가 나요,怒っています,ファガ ナヨ,感情,初級
걱정돼요,心配です,コクチョンデヨ,感情,初級
기뻐요,嬉しいです,キッポヨ,感情,初級
슬퍼요,悲しいです,スルポヨ,感情,初級
즐거워요,楽しいです,チュルゴウォヨ,感情,初級
외로워요,寂しいです,ウェロウォヨ,感情,初級
지루해요,退屈です,チルヘヨ,感情,初級
놀라워요,驚きました,ノルラウォヨ,感情,初級
당황해요,困っています,タンファンヘヨ,感情,初級
부끄러워요,恥ずかしいです,プックロウォヨ,感情,初級 
